name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Light Machine Gun,lightmg,0,,100,900,,25,,1,50,3,,,,KINETIC,3,,0,0.4,5,0.1,0,1.666666667,0.333333333,5,,1800,,,10,,,PD,"pd6, kinetic3, SR, base_bp",,,,Point Defense,,,,,,,,,,0.5
Light Dual Machine Gun,lightdualmg,2,,400,900,,25,,1,50,5,,,,KINETIC,3,,0,0.2,5,0.1,0,1.666666667,0.333333333,5,,1800,,,10,,,PD,"pd7, kinetic4, SR, lowtech_bp, merc",,,,Point Defense,,,,,,,,,,0.7
Light Mortar,lightmortar,0,,75,1200,,75,,4,30,2,,,,HIGH_EXPLOSIVE,50,,0,1,1,,0,7.5,1.5,5,,1000,,,10,,,,"he6, base_bp",,,,Anti Armor,,,,,,,,,,0.75
#Light Mortar (High Delay),lightmortar_fighter,0,,75,800,,75,,4,30,2,,,,HIGH_EXPLOSIVE,50,,0,2,1,,0,7.5,1.5,5,,1000,,,10,,,SYSTEM,he6,,,,Anti Armor,,,,,,,,,,0.8
Vulcan Cannon,vulcan,1,,200,750,,25,,1,75,4,,,,FRAGMENTATION,1,,0,0.05,1,,0,5,0.333333333,5,,2400,,,10,,,PD,"pd7, SR, lowtech_bp, merc",,,,Point Defense,,,,,,,,,,1
Light Autocannon,lightac,0,,125,1200,,50,,3,20,4,,,,KINETIC,50,,0,0.5,1,,0,4,1,7.5,,1600,,,20,,,,"kinetic6, base_bp",,,,Anti Shield,,,,,,,,,,2
Light Dual Autocannon,lightdualac,1,,300,1200,,50,,3,20,5,,,,KINETIC,50,,0,0.6,2,0.1,0,10,1.5,4.5,,1600,,,20,,,,"kinetic7, lowtech_bp, midline_bp, merc",,,,Anti Shield,,,,,,,,,,2.5
Light Assault Gun,lightag,1,,300,1200,,40,,3,40,5,,,,HIGH_EXPLOSIVE,40,,0,0.25,1,,0,2.5,0.5,2.5,,1600,,,30,,,,"he6, lowtech_bp, midline_bp, merc",,,,Anti Armor,,,,,,,,,,3
Stinger-class Proximity Mine,fragbomb,0,,100,1000,,500,,10,0,1,2,0.1,,FRAGMENTATION,0,,0,1,1,,0,0,0,0,,200,40,14,75,,,"DO_NOT_AIM, ANTI_FTR, PD_ONLY, SYSTEM",he0,,,,Anti Fighter,,,,,,,,,TRUE,3.2
Cluster Bomb Bay,clusterbomb,2,,350,3000,,300,,30,15,5,30,,,HIGH_EXPLOSIVE,0,,0,2,5,0.1,0,0,0,0,,80,40,120,37.5,,,"STRIKE,SYSTEM",he0,,,,Strike,,,,,,,,,TRUE,3.4
Standard Bomb Bay,bomb,1,,200,4000,,400,,50,15,4,10,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,680,40,50,75,,,"STRIKE, BOMB","he0, no_drop, no_drop_salvage",,,,Strike,,,,,,,,,TRUE,3.5
Light Needler,lightneedler,3,0.3,800,1400,,50,,1,20,8,,,,KINETIC,40,,0,4.3,15,0.05,0,5,0.33,2.5,,2400,,,10,,,,"kinetic9, LR, remnant, rare_bp, hist1t, merc",,,,Anti Shield,,,,,,,,,,3.65
Railgun,railgun,2,0.5,600,1400,,100,,10,30,8,,,,KINETIC,90,,0.6,0,1,,,,,,,2000,,,50,,,,"kinetic8, LR, remnant, rare_bp, hist1t, merc",,,,Anti Shield,,,,,,,,,,3.75
Thumper,shredder,0,,700,1400,,100,,1,25,6,,,,FRAGMENTATION,30,,0,3,20,0.05,0,3.5,0.5,10,,1600,,,30,,,,"kinetic8, base_bp",,,,General,,,,,,,,,,3.8
Heavy Machine Gun,heavymg,2,,1200,1350,,40,,3,40,10,,,,KINETIC,15,,0,0.2,4,0.1,0,1.666666667,0.333333333,5,,2100,,,30,,,PD,"kinetic11, pd10, SR, midline_bp, merc",,,,Point Defense,,,,,,,,,,3.85
Heavy Mortar,heavymortar,0,,600,1400,,110,,12,30,7,,,,HIGH_EXPLOSIVE,90,,0,0.7,2,0.3,0,10,2.5,2.5,,1000,,,30,,,,"he11, base_bp, merc",,,,Anti Armor,,,,,,,,,,3.9
Flak Cannon,flak,1,,1000,1500,,200,,10,40,8,,,,FRAGMENTATION,50,,0,1,1,,0,3.333333333,0.666666667,3.333333333,,2100,,,30,,,PD,"pd13, SR, lowtech_bp, merc",,,,Point Defense (Area),,,,,,,,,,4
Arbalest Autocannon,arbalest,0,,800,1400,,150,,10,12,8,,,,KINETIC,120,,0,1,1,,0,7.5,2.5,5,,1600,,,30,,,,"kinetic12, base_bp",,,,Anti Shield,,,,,,,,,,4.125
Dual Flak Cannon,dualflak,2,,1400,1200,,150,,10,60,12,,,,FRAGMENTATION,50,,0,0.33,1,,0,3.333333333,0.666666667,3.333333333,,2100,,,30,,,PD,"pd15, SR, remnant, rare_bp, merc",,,,Point Defense (Area),,,,,,,,,,4.25
Assault Chaingun,chaingun,1,,1000,900,,75,,3,30,10,,,,HIGH_EXPLOSIVE,60,,0,0.15,1,,0,10,0.5,5,,1600,,,30,,,,"he15, SR, lowtech_bp, midline_bp, merc",,,,Anti Armor,,,,,,,,,,4.5
Heavy Mauler,heavymauler,3,0.3,2000,2000,,200,,10,20,12,,,,HIGH_EXPLOSIVE,225,,0,1.5,1,,0,5,1,2.5,,1800,,,30,,,,"he16, LR, remnant, rare_bp, merc",,,,Anti Armor,,,,,,,,,,4.75
Heavy Autocannon,heavyac,1,,1000,1600,,100,,10,7,10,,,,KINETIC,100,,0,1,3,0.2,0,9,1.5,5,,1600,,,30,,,,"kinetic14, lowtech_bp, merc",,,,Anti Shield,,,,,,,,,,5
Hypervelocity Driver,hveldriver,3,0.3,2250,2000,,275,400,40,10,13,,,,KINETIC,350,,0,2,1,,,,,,,2000,,,300,,,,"kinetic15, LR, remnant, rare_bp, merc",,,,Anti Shield,,,,,,,,,,5.5
Heavy Needler,heavyneedler,3,0.3,2500,1500,,50,,1,15,15,,,,KINETIC,40,,0,4.55,30,0.05,0.5,5,0.25,2.5,,2400,,,10,,,,"kinetic15, remnant, rare_bp, hist1t, merc",,,,Anti Shield,,,,,,,,,,5.75
Gauss Cannon,gauss,3,,5000,2400,,700,,300,3,25,,,,KINETIC,1200,,1,1,,,,,,,,2400,,,400,,,,"kinetic20, LR, remnant, rare_bp, hist1t, merc",,,,Anti Shield,,,,,,,,,,6
Hephaestus Assault Gun,hephag,1,,4000,1800,,120,,5,20,20,,,,HIGH_EXPLOSIVE,120,,0,0.25,1,,0,5,1,5,,1600,,,50,,,,"he18, lowtech_bp, midline_bp, merc",,,,Anti Armor,,,,,,,,,,7
Mark IX Autocannon,mark9,0,,3000,1800,,200,,20,10,18,,,,KINETIC,200,,0,2,4,0.1,0,7.5,1,5,,1600,,,100,,,,"kinetic18, base_bp, merc",,,,Anti Shield,,,,,,,,,,7.25
Devastator Cannon,devastator,1,,3500,2700,,150,,40,12,20,,,,HIGH_EXPLOSIVE,75,,0,2,12,0.1,1.666666667,10,1.666666667,1.666666667,,2100,,,100,,,"PD,PD_ALSO","he16, pd14, lowtech_bp, merc",,,,Anti Fighter (Area),,,,,"Each shell has a fuse set to explode at a random distance, resulting in a barrage that's increasingly more deadly at closer ranges.

Will target missiles if no other targets are in range.",,,,,7.4
Mjolnir Cannon,mjolnir,2,0.4,6000,1800,,400,200,10,25,24,,,,ENERGY,500,,0,0.75,1,,0,2.5,0.5,5,,1800,,,75,,,,"energy18, he17, kinetic17, remnant, rare_bp, hist1t, merc",,,,General,,,,,,,,,,7.5
Hellbore Cannon,hellbore,0,,3000,1800,,750,,200,5,16,,,,HIGH_EXPLOSIVE,750,,0,3,1,,0,5,2.5,5,,1000,,,400,,,,"he18, lowtech_bp, merc",,,,Anti Armor,,,,,,,,,,8
Storm Needler,multineedler,3,0.4,6500,1400,,50,,20,15,28,,,,KINETIC,35,,0,0.1,1,,5,5,5,5,,2400,,,20,,,,"kinetic19, remnant, rare_bp, hist1t, merc",,,,Anti Shield,,,,,,,,,,8.5
Reaper-class Torpedo,reaper,1,,200,2400,,4000,,75,10,2,1,,,HIGH_EXPLOSIVE,0,,0,5,1,,0,0,0,0,,1600,200,7,250,,,STRIKE,"strike8, rocket3, missile_bp, merc",,,,Torpedo,Fast,None,,,,,,,TRUE,9
Atropos-class Torpedo Rack,atropos,2,0.5,600,2400,,1000,,40,10,4,2,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,1600,300,7,150,,,GUIDED_POOR,"strike9, missile1, missile_bp, merc",,,,Torpedo,Fast,Good,,,,,,,TRUE,9.5
Atropos-class Torpedo (Single),atropos_single,2,0.5,300,2400,,1000,,40,10,2,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,1600,300,7,150,,,GUIDED_POOR,"strike7, missile0, base_bp",,,,Torpedo,Fast,Good,,,,,,,TRUE,9.75
Hammer-class Torpedo,hammer,0,,150,2400,,1500,,30,10,2,2,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,2000,80,8,175,,,STRIKE,"strike6, rocket2, base_bp",,,,Torpedo,Fast,None,,,,,,,TRUE,9.8
Hammer-class Torpedo (Single),hammer_single,0,,75,2400,,1500,,30,10,1,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,2000,80,8,175,,,STRIKE,"strike5, rocket1, base_bp",,,,Torpedo,Fast,None,,,,,,,TRUE,9.9
Swarmer SRM Launcher,swarmer,1,,250,2000,,100,,15,50,3,60,,,HIGH_EXPLOSIVE,0,,0,5,4,0.2,0,0,0,0,,1200,200,10,25,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility8, missile0, missile_bp, merc",,,,Anti Small Craft,Fast,Excellent,,,,,,,,10
Swarmer SRM Launcher,swarmer_fighter,1,,250,2000,,100,,5,50,4,2,0.075,,HIGH_EXPLOSIVE,0,,0,5,2,0.2,0,0,0,0,,1200,200,10,25,,,"ANTI_FTR, DO_NOT_AIM, SYSTEM,DO_NOT_CONSERVE","utility8, missile0",,,,Anti Small Craft,Fast,Excellent,,,,,,,,10
Annihilator Rocket Launcher,annihilator,0,,150,3000,,200,,5,30,4,50,,,HIGH_EXPLOSIVE,0,,0,5,5,0.2,0,0,0,0,,1600,100,7.5,25,,,CONSERVE_1,"rocket7, strike0, missile_bp, merc",,,,Anti Armor,Fast,None,,,,,,,,11
Annihilator Rocket Pod,annihilator_fighter,0,,150,3000,,200,,5,30,4,5,,,HIGH_EXPLOSIVE,0,,0,0.1,1,,0,15,7.5,5,,1600,100,7.5,25,,,SYSTEM,"rocket13, strike8",,,,Anti Armor,Fast,None,,,,,,,,11.1
Salamander MRM,heatseeker,1,,225,4000,,100,1500,15,30,5,,,,FRAGMENTATION,0,,0,25,1,,0,0,0,,,1600,100,30,75,,,"DO_NOT_AIM, HEATSEEKER","utility13, missile0, missile_bp, merc",,,,Anti Engine,Fast,Excellent,,,,,,,TRUE,11.25
Harpoon MRM,harpoon,1,,200,5000,,750,,15,30,4,3,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,,,1200,200,25,75,,,DO_NOT_AIM,"missile8, strike3, missile_bp, merc",,,,Finisher,Medium,Medium,,,,,,,TRUE,11.5
Harpoon MRM (Single),harpoon_single,0,,100,5000,,750,,15,30,1,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,,,1200,200,25,75,,,DO_NOT_AIM,"missile6, strike1, base_bp",,,,Finisher,Medium,Medium,,,,,,,TRUE,11.6125
Breach SRM,breach,1,,200,2400,,150,,15,10,3,15,,,HIGH_EXPLOSIVE,0,,0,9,3,0.5,0,0,0,,,1600,100,9,225,,,"DO_NOT_AIM, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR, DIRECT_AIM, MISSILE_SPREAD","missile7, base_bp, merc",,,,Anti Armor,Medium,Good,,,Each missile deals an additional %s damage to armor. This damage is not reduced by armor.,200,,,TRUE,11.7
Sabot SRM,sabot,1,,200,2400,,100,,15,30,4,3,,,KINETIC,0,,0,1,1,,0,0,0,0,,600,100,16,150,,,GUIDED_POOR,"missile8, strike2, missile_bp, merc",,,,Anti Shield,Slow,Poor,,,"Submunition hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s EMP damage.",25% | 400,,,TRUE,11.75
Sabot SRM (Single),sabot_single,0,,100,2400,,100,,15,30,1,1,,,KINETIC,0,,0,1,1,,0,0,0,0,,600,100,16,150,,,"GUIDED_POOR, EXTRA_RANGE_ON_FIGHTER","missile6, strike0, base_bp",,,,Anti Shield,Slow,Poor,,,"Submunition hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s EMP damage.",25% | 400,,,TRUE,11.85
Harpoon MRM Pod,harpoonpod,1,,1200,5000,,750,,15,10,10,12,,,HIGH_EXPLOSIVE,0,,0,8.25,4,0.25,0,0,0,,,1200,200,25,75,,,DO_NOT_AIM,"missile12, strike9, missile_bp, merc",,,,Finisher,Medium,Medium,,,,,,,TRUE,12
Breach SRM Pod,breachpod,1,,1200,2400,,150,,15,10,10,50,,,HIGH_EXPLOSIVE,0,,0,9,5,0.25,0,0,0,,,1600,100,9.5,225,,,"DO_NOT_AIM, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR, DIRECT_AIM, MISSILE_SPREAD","missile13, rare_bp, merc",,,,Anti Armor,Medium,Good,,,Each missile deals an additional %s damage to armor. This damage is not reduced by armor.,200,,,TRUE,12.05
Sabot SRM Pod,sabotpod,1,,1200,2400,,100,,15,10,10,12,,,KINETIC,0,,0,8.75,2,0.25,0,0,0,0,,600,100,16,150,,,GUIDED_POOR,"missile13, strike8, rare_bp, merc",,,,Anti Shield,Slow,Poor,,,"Submunition hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s EMP damage.",25% | 400,,,TRUE,12.1
Salamander MRM Pod,salamanderpod,1,,1200,4000,,100,1500,15,10,10,,,,FRAGMENTATION,0,,0,25,2,0.25,0,0,0,,,1600,100,30,75,,,"DO_NOT_AIM, HEATSEEKER","utility13, missile_bp, merc",,,,Anti Engine,Fast,Excellent,,,,,,,TRUE,12.2
Annihilator Rocket Pod,annihilatorpod,0,,1200,3000,,200,,5,30,10,100,,,HIGH_EXPLOSIVE,0,,0,0.5,1,,0,0,0,0,,1600,100,7.5,25,,,,"rocket13, strike8, missile_bp, merc",,,,Pressure,Fast,None,,,,,,,,12.3
Pilum LRM Launcher,pilum,0,,900,20000,,500,,25,10,7,30,0.1,,HIGH_EXPLOSIVE,0,,0,15,3,0.4,0,0,0,0,,500,200,160,25,,,"DO_NOT_AIM, CONSERVE_1","utility13, missile7, missile_bp, merc",,,,Long Range Support,Very Slow,Very Poor,,,,,,,,12.5
Proximity Charge Launcher,phasecl,2,,1500,2000,,500,,25,30,12,30,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,200,400,40,125,,,"ANTI_FTR,PD","utility8, rare_bp, merc",,,,Anti Fighter,Very Slow,None,,,,,,,TRUE,13
Proximity Charge Launcher,phasecl_bomber,2,,1500,4000,,500,,25,30,12,6,,,HIGH_EXPLOSIVE,0,,0,1.5,1,,0,0,0,0,,400,400,40,125,,,"SYSTEM,STRIKE",utility8,,,,Strike,Very Slow,None,,,,,,,TRUE,13.5
Typhoon Reaper Launcher,typhoon,1,,1200,2400,,4000,,75,20,10,5,,,HIGH_EXPLOSIVE,0,,0,15,1,,0,0,0,0,,1600,200,7,250,,,STRIKE,"strike13, rocket8, missile_bp, merc",,,,Torpedo,Fast,None,,,,,,,TRUE,14
Cyclone Reaper Launcher,cyclone,2,,5000,2400,,4000,,75,20,26,20,,,HIGH_EXPLOSIVE,0,,0,15,2,1,0,0,0,0,,1600,200,7,250,,,STRIKE,"strike18, rocket14, rare_bp, merc",,,,Torpedo,Fast,None,,,,,,,TRUE,15
Hurricane MIRV Launcher,hurricane,1,,4500,5000,,500,,50,10,25,10,,,HIGH_EXPLOSIVE,0,,0,15,1,,0,0,0,0,,1000,100,24,175,,,"DO_NOT_AIM, CONSERVE_5","missile18, strike15, rare_bp, hist1t, merc",,,,Finisher,Medium,Good,,,,,,,TRUE,16
Squall MLRS,squall,2,,4000,5000,,250,100,15,20,20,100,,,KINETIC,0,,0,10,20,0.5,0,0,0,0,,2400,200,9.5,150,,,"DO_NOT_AIM, CONSERVE_3, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD","missile19, strike15, rare_bp, merc",,,,Suppression,Very Fast,Special,,,Unguided after a brief initial aiming stage.,,,,,16.2
Locust SRM Launcher,locust,1,,4000,2800,,200,,5,30,18,600,,,FRAGMENTATION,0,,0,5,40,0.1,0,0,0,0,,1600,200,12,30,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, rare_bp, hist1t, merc",,,,Anti Small Craft,Fast,Excellent,,,,,,,,16.3
